Date,BTC,VIX,BTC_Return,VIX_Change,FearGreed,FundingRate,NextDay_Return,VIX_Lag1,Fear_Lag1,Fund_Lag1
2021-12-03,53598.24609375,30.670000076293945,-0.0509858648179134,0.0973166096281865,31,0.0001,0.0245858957900213,30.670000076293945,31,0.0001
2021-12-06,50582.625,27.18000030517578,0.0245858957900213,-0.1137919713869098,16,-3.720333333333334e-05,0.0023221597831271,27.18000030517578,16,-3.720333333333334e-05
2021-12-07,50700.0859375,21.88999938964844,0.0023221597831271,-0.1946284347362568,25,-0.0006419433333333333,-0.0038518487471744,21.88999938964844,25,-0.0006419433333333333
2021-12-08,50504.796875,19.899999618530273,-0.0038518487471744,-0.0909090829878787,28,-0.0005552333333333333,-0.0560872621319695,19.899999618530273,28,-0.0005552333333333333
2021-12-09,47672.12109375,21.579999923706055,-0.0560872621319695,0.0844221275065459,29,-0.00013304333333333335,-0.0089951190845213,21.579999923706055,29,-0.00013304333333333335
2021-12-10,47243.3046875,18.690000534057617,-0.0089951190845213,-0.1339202687611558,24,-0.00023620666666666665,-0.0670851717099511,18.690000534057617,24,-0.00023620666666666665
2021-12-13,46737.48046875,20.309999465942383,-0.0670851717099511,0.0866773079504594,28,-0.00033017333333333333,-0.0026712534564946,20.309999465942383,28,-0.00033017333333333333
2021-12-14,46612.6328125,21.88999938964844,-0.0026712534564946,0.0777941883433104,21,-9.051000000000001e-05,0.049001519672527,21.88999938964844,21,-9.051000000000001e-05
2021-12-15,48896.72265625,19.290000915527344,0.049001519672527,-0.1187756302702597,28,0.0001,-0.0251815828978184,19.290000915527344,28,0.0001
2021-12-16,47665.42578125,20.56999969482422,-0.0251815828978184,0.0663555582450257,29,0.0001,-0.0306990072157418,20.56999969482422,29,0.0001
2021-12-17,46202.14453125,21.56999969482422,-0.0306990072157418,0.0486144878384036,23,0.0001,0.0037095437683511,21.56999969482422,23,0.0001
2021-12-20,46880.27734375,22.8700008392334,0.0037095437683511,0.0602689458878906,25,0.0001,0.0438635616940126,22.8700008392334,25,0.0001
2021-12-21,48936.61328125,21.010000228881836,0.0438635616940126,-0.0813292759990081,27,0.0001,-0.0062959314476722,21.010000228881836,27,0.0001
2021-12-22,48628.51171875,18.6299991607666,-0.0062959314476722,-0.1132794403706629,45,0.0001,0.0443366919436007,18.6299991607666,45,0.0001
2021-12-23,50784.5390625,17.959999084472656,0.0443366919436007,-0.0359635054468985,34,0.0001,-0.0033280706216139,17.959999084472656,34,0.0001
2021-12-27,50640.41796875,17.68000030517578,-0.0033280706216139,-0.0155901332722755,40,0.0002532633333333333,-0.0602594256209162,17.68000030517578,40,0.0002532633333333333
2021-12-28,47588.85546875,17.540000915527344,-0.0602594256209162,-0.0079185173773698,41,0.00014299333333333335,-0.0240422788062495,17.540000915527344,41,0.00014299333333333335
2021-12-29,46444.7109375,16.950000762939453,-0.0240422788062495,-0.0336374071717174,27,0.0001,0.0157911212643124,16.950000762939453,27,0.0001
2021-12-30,47178.125,17.329999923706055,0.0157911212643124,0.0224188285346544,22,0.0001,-0.0184763529177982,17.329999923706055,22,0.0001
2021-12-31,46306.4453125,17.219999313354492,-0.0184763529177982,-0.0063474097424022,28,0.0001,-0.0187368774698079,17.219999313354492,28,0.0001
2022-01-03,46458.1171875,16.600000381469727,-0.0187368774698079,-0.0360045851688242,29,7.93e-05,-0.0120655550135126,16.600000381469727,29,7.93e-05
2022-01-04,45897.57421875,16.90999984741211,-0.0120655550135126,0.0186746661938892,23,0.0001523766666666667,-0.0507340606150975,16.90999984741211,23,0.0001523766666666667
2022-01-05,43569.00390625,19.729999542236328,-0.0507340606150975,0.1667652111336823,24,0.0001,-0.0093661590158929,19.729999542236328,24,0.0001
2022-01-06,43160.9296875,19.61000061035156,-0.0093661590158929,-0.0060820544687738,15,9.08e-05,-0.0371407046918699,19.61000061035156,15,9.08e-05
2022-01-07,41557.90234375,18.760000228881836,-0.0371407046918699,-0.043345250128194,18,-7.733333333333334e-06,-0.0021554853640055,18.760000228881836,18,-7.733333333333334e-06
2022-01-10,41821.26171875,19.399999618530273,-0.0021554853640055,0.0341151056417969,23,6.110000000000001e-05,0.0218691094532414,19.399999618530273,23,6.110000000000001e-05
2022-01-11,42735.85546875,18.40999984741211,0.0218691094532414,-0.0510309170404594,21,5.966666666666667e-05,0.0283894186846727,18.40999984741211,21,5.966666666666667e-05
2022-01-12,43949.1015625,17.6200008392334,0.0283894186846727,-0.0429114076440234,22,-0.0005549,-0.0308887144841734,17.6200008392334,22,-0.0005549
2022-01-13,42591.5703125,20.309999465942383,-0.0308887144841734,0.1526673381717058,21,-0.0006376,0.0119302693589786,20.309999465942383,21,-0.0006376
2022-01-14,43099.69921875,19.190000534057617,0.0119302693589786,-0.0551451975054395,21,-0.00054311,0.0029604828561313,19.190000534057617,21,-0.00054311
2022-01-18,42375.6328125,22.790000915527344,0.0029604828561313,0.1875977217968596,24,-0.00025317666666666667,-0.0148978232441587,22.790000915527344,24,-0.00025317666666666667
2022-01-19,41744.328125,23.850000381469727,-0.0148978232441587,0.0465116026046397,24,-0.00040551333333333335,-0.025486340397292,23.850000381469727,24,-0.00040551333333333335
2022-01-20,40680.41796875,25.59000015258789,-0.025486340397292,0.0729559640791477,24,-0.00011715,-0.1038116561571248,25.59000015258789,24,-0.00011715
