Date,FundingRate
15/11/22 8:00,0.0001
15/11/22 0:00,0.0001
14/11/22 16:00,0.0001
14/11/22 8:00,0.0001
14/11/22 0:00,0.0001
13/11/22 16:00,0.0001
13/11/22 8:00,0.0001
13/11/22 0:00,-7.95E-05
12/11/22 16:00,-5.19E-05
12/11/22 8:00,-0.00028869
12/11/22 0:00,0.0001
11/11/22 16:00,-0.00010312
11/11/22 8:00,-0.00039151
11/11/22 0:00,-0.00030369
10/11/22 16:00,-0.00122006
10/11/22 8:00,-0.00155586
10/11/22 0:00,-0.0009928
09/11/22 16:00,-0.00085219
09/11/22 8:00,-0.00027129
09/11/22 0:00,-0.00028923
08/11/22 16:00,-0.00046763
08/11/22 8:00,-0.00112905
08/11/22 0:00,8.49E-05
07/11/22 16:00,0.0001
07/11/22 8:00,7.70E-05
07/11/22 0:00,-1.85E-05
06/11/22 16:00,4.74E-05
06/11/22 8:00,-3.71E-05
06/11/22 0:00,-0.00011556
05/11/22 16:00,-0.00015551
05/11/22 8:00,-0.00030599
05/11/22 0:00,-0.00027147
04/11/22 16:00,-8.14E-05
04/11/22 8:00,-0.00030006
04/11/22 0:00,-0.00033174
03/11/22 16:00,3.34E-05
03/11/22 8:00,-7.88E-05
03/11/22 0:00,-0.00018512
02/11/22 16:00,-6.13E-05
02/11/22 8:00,-0.00020028
02/11/22 0:00,-0.00019428
01/11/22 16:00,4.57E-05
01/11/22 8:00,-0.00019548
01/11/22 0:00,-0.00030212
31/10/22 16:00,-0.00010301
31/10/22 8:00,8.70E-05
31/10/22 0:00,0.0001
30/10/22 16:00,0.0001
30/10/22 8:00,0.0001
30/10/22 0:00,9.62E-05
29/10/22 16:00,0.0001
29/10/22 8:00,0.0001
29/10/22 0:00,0.0001
28/10/22 16:00,7.23E-05
28/10/22 8:00,-6.25E-05
28/10/22 0:00,-4.93E-05
27/10/22 16:00,3.85E-05
27/10/22 8:00,2.67E-05
27/10/22 0:00,-3.61E-05
26/10/22 16:00,-4.74E-05
26/10/22 8:00,0.0001
26/10/22 0:00,8.34E-05
25/10/22 16:00,-8.37E-05
25/10/22 8:00,3.61E-05
25/10/22 0:00,-6.82E-05
24/10/22 16:00,-1.74E-06
24/10/22 8:00,-6.16E-05
24/10/22 0:00,-0.00015148
23/10/22 16:00,5.02E-05
23/10/22 8:00,-1.92E-05
23/10/22 0:00,-4.34E-05
22/10/22 16:00,-0.00019269
22/10/22 8:00,-9.97E-05
22/10/22 0:00,-0.00012122
21/10/22 16:00,-7.96E-05
21/10/22 8:00,-1.34E-05
21/10/22 0:00,1.46E-05
20/10/22 16:00,1.55E-05
20/10/22 8:00,-8.25E-05
20/10/22 0:00,6.79E-05
19/10/22 16:00,5.74E-05
19/10/22 8:00,0.0001
19/10/22 0:00,3.60E-05
18/10/22 16:00,-0.00017415
18/10/22 8:00,1.12E-05
18/10/22 0:00,0.0001
17/10/22 16:00,-4.34E-05
17/10/22 8:00,1.96E-05
17/10/22 0:00,-0.00016193
16/10/22 16:00,7.20E-05
16/10/22 8:00,-0.00022215
16/10/22 0:00,-1.34E-05
15/10/22 16:00,-8.75E-05
15/10/22 8:00,-1.12E-05
15/10/22 0:00,2.38E-05
14/10/22 16:00,7.59E-06
14/10/22 8:00,5.59E-05
14/10/22 0:00,2.63E-06
13/10/22 16:00,-0.00012844
13/10/22 8:00,0.0001
13/10/22 0:00,0.0001
12/10/22 16:00,0.0001
12/10/22 8:00,0.0001
12/10/22 0:00,0.0001
11/10/22 16:00,0.0001
11/10/22 8:00,0.0001
11/10/22 0:00,0.0001
10/10/22 16:00,0.0001
10/10/22 8:00,0.0001
10/10/22 0:00,0.0001
09/10/22 16:00,0.0001
09/10/22 8:00,0.0001
09/10/22 0:00,0.0001
08/10/22 16:00,0.0001
08/10/22 8:00,0.0001
08/10/22 0:00,0.0001
07/10/22 16:00,0.0001
07/10/22 8:00,-0.00023156
07/10/22 0:00,3.68E-05
06/10/22 16:00,8.41E-05
06/10/22 8:00,5.73E-05
06/10/22 0:00,-5.12E-05
05/10/22 16:00,0.0001
05/10/22 8:00,-1.81E-05
05/10/22 0:00,-0.00026938
04/10/22 16:00,-0.0001903
04/10/22 8:00,-0.00010881
04/10/22 0:00,-0.00015095
03/10/22 16:00,8.92E-05
03/10/22 8:00,0.0001
03/10/22 0:00,-1.91E-05
02/10/22 16:00,-0.00017607
02/10/22 8:00,-0.00019873
02/10/22 0:00,-0.00015671
01/10/22 16:00,2.46E-05
01/10/22 8:00,3.61E-05
01/10/22 0:00,-4.55E-05
30/09/22 16:00,-2.23E-05
30/09/22 8:00,-0.00015756
30/09/22 0:00,-0.00019667
29/09/22 16:00,-1.33E-05
29/09/22 8:00,-8.66E-05
29/09/22 0:00,-0.00020058
28/09/22 16:00,-0.00019499
28/09/22 8:00,-0.00028865
28/09/22 0:00,-0.00018044
27/09/22 16:00,7.11E-05
27/09/22 8:00,-3.95E-05
27/09/22 0:00,3.02E-06
26/09/22 16:00,-1.89E-05
26/09/22 8:00,-0.0001081
26/09/22 0:00,-0.00022651
25/09/22 16:00,-8.54E-05
25/09/22 8:00,-0.00012953
25/09/22 0:00,3.56E-05
24/09/22 16:00,6.14E-05
24/09/22 8:00,3.82E-05
24/09/22 0:00,-2.84E-05
23/09/22 16:00,-1.54E-05
23/09/22 8:00,-5.46E-05
23/09/22 0:00,-5.12E-05
22/09/22 16:00,-1.49E-05
22/09/22 8:00,-0.00027725
22/09/22 0:00,-0.00022332
21/09/22 16:00,-0.00011884
21/09/22 8:00,-3.10E-05
21/09/22 0:00,-0.00012052
20/09/22 16:00,1.86E-05
20/09/22 8:00,9.00E-06
20/09/22 0:00,-1.41E-05
19/09/22 16:00,-0.00017927
19/09/22 8:00,-0.0001889
19/09/22 0:00,5.77E-06
18/09/22 16:00,-6.65E-05
18/09/22 8:00,-0.00013899
18/09/22 0:00,3.04E-05
17/09/22 16:00,2.63E-05
17/09/22 8:00,-3.21E-05
17/09/22 0:00,-3.22E-06
16/09/22 16:00,-8.31E-05
16/09/22 8:00,-0.00011617
16/09/22 0:00,-6.19E-05
15/09/22 16:00,-0.00011557
15/09/22 8:00,-2.25E-05
15/09/22 0:00,8.47E-05
14/09/22 16:00,7.68E-05
14/09/22 8:00,-0.00010321
14/09/22 0:00,-8.48E-05
13/09/22 16:00,-5.93E-05
13/09/22 8:00,-0.00016514
13/09/22 0:00,-0.00012648
12/09/22 16:00,-6.21E-05
12/09/22 8:00,-0.00016862
12/09/22 0:00,-0.00012143
11/09/22 16:00,-6.92E-05
11/09/22 8:00,-2.15E-05
11/09/22 0:00,-8.62E-05
10/09/22 16:00,-1.34E-05
10/09/22 8:00,-1.46E-05
10/09/22 0:00,0.0001
09/09/22 16:00,0.0001
09/09/22 8:00,8.33E-05
09/09/22 0:00,4.09E-05
08/09/22 16:00,0.0001
08/09/22 8:00,7.48E-05
08/09/22 0:00,-3.85E-05
07/09/22 16:00,-0.00028964
07/09/22 8:00,-0.00037551
07/09/22 0:00,-0.00032792
06/09/22 16:00,0.0001
06/09/22 8:00,0.0001
06/09/22 0:00,-9.14E-05
05/09/22 16:00,-0.0001684
05/09/22 8:00,5.91E-05
05/09/22 0:00,0.0001
04/09/22 16:00,8.37E-05
04/09/22 8:00,8.30E-05
04/09/22 0:00,0.0001
03/09/22 16:00,5.25E-05
03/09/22 8:00,-8.37E-05
03/09/22 0:00,-0.00012982
02/09/22 16:00,2.98E-05
02/09/22 8:00,-7.83E-05
02/09/22 0:00,-0.00016018
01/09/22 16:00,3.48E-05
01/09/22 8:00,-0.00010371
01/09/22 0:00,0.0001
31/08/22 16:00,0.0001
31/08/22 8:00,-2.21E-06
31/08/22 0:00,-3.64E-05
30/08/22 16:00,1.64E-05
30/08/22 8:00,-5.11E-06
30/08/22 0:00,-0.00013668
29/08/22 16:00,-0.00015429
29/08/22 8:00,-0.00016902
29/08/22 0:00,-6.54E-05
28/08/22 16:00,-0.00022681
28/08/22 8:00,-0.00016997
28/08/22 0:00,-0.00011706
27/08/22 16:00,-0.00011741
27/08/22 8:00,-0.00014636
27/08/22 0:00,-0.0001681
26/08/22 16:00,-7.74E-05
26/08/22 8:00,-3.99E-05
26/08/22 0:00,0.0001
25/08/22 16:00,0.0001
25/08/22 8:00,1.00E-05
25/08/22 0:00,6.56E-05
24/08/22 16:00,-1.24E-05
24/08/22 8:00,-0.00013332
24/08/22 0:00,-0.00016602
23/08/22 16:00,-9.34E-05
23/08/22 8:00,-0.00019825
23/08/22 0:00,-0.00019967
22/08/22 16:00,-0.00026335
22/08/22 8:00,-0.0002121
22/08/22 0:00,-0.00013305
21/08/22 16:00,-1.43E-05
21/08/22 8:00,-0.00024731
21/08/22 0:00,-0.00022373
20/08/22 16:00,-0.00042406
20/08/22 8:00,-0.00028149
20/08/22 0:00,-0.00010775
19/08/22 16:00,-3.73E-05
19/08/22 8:00,-4.51E-05
19/08/22 0:00,-2.48E-05
18/08/22 16:00,9.59E-06
18/08/22 8:00,-2.71E-05
18/08/22 0:00,-0.00015579
17/08/22 16:00,3.34E-06
17/08/22 8:00,0.0001
17/08/22 0:00,0.0001
16/08/22 16:00,0.0001
16/08/22 8:00,0.0001
16/08/22 0:00,0.0001
15/08/22 16:00,0.0001
15/08/22 8:00,0.0001
15/08/22 0:00,0.0001
14/08/22 16:00,0.0001
14/08/22 8:00,0.0001
14/08/22 0:00,0.0001
13/08/22 16:00,0.0001
13/08/22 8:00,0.0001
13/08/22 0:00,0.0001
12/08/22 16:00,0.0001
12/08/22 8:00,0.0001
12/08/22 0:00,0.0001
11/08/22 16:00,0.0001
11/08/22 8:00,0.0001
11/08/22 0:00,0.0001
10/08/22 16:00,0.0001
10/08/22 8:00,0.0001
10/08/22 0:00,0.0001
09/08/22 16:00,0.0001
09/08/22 8:00,0.0001
09/08/22 0:00,0.0001
08/08/22 16:00,0.0001
08/08/22 8:00,0.0001
08/08/22 0:00,0.0001
07/08/22 16:00,0.0001
07/08/22 8:00,0.0001
07/08/22 0:00,0.0001
06/08/22 16:00,0.0001
06/08/22 8:00,0.0001
06/08/22 0:00,0.0001
05/08/22 16:00,0.0001
05/08/22 8:00,0.0001
05/08/22 0:00,0.0001
04/08/22 16:00,0.0001
04/08/22 8:00,0.0001
04/08/22 0:00,0.0001
03/08/22 16:00,0.0001
03/08/22 8:00,0.0001
03/08/22 0:00,0.0001
02/08/22 16:00,0.0001
02/08/22 8:00,0.0001
02/08/22 0:00,0.0001
01/08/22 16:00,0.0001
01/08/22 8:00,0.0001
01/08/22 0:00,0.0001
31/07/22 16:00,0.0001
31/07/22 8:00,0.0001
31/07/22 0:00,0.0001
30/07/22 16:00,0.0001
30/07/22 8:00,0.0001
30/07/22 0:00,0.0001
29/07/22 16:00,0.0001
29/07/22 8:00,0.0001
29/07/22 0:00,0.0001
28/07/22 16:00,0.0001
28/07/22 8:00,0.0001
28/07/22 0:00,0.0001
27/07/22 16:00,0.0001
27/07/22 8:00,-1.15E-06
27/07/22 0:00,-7.50E-05
26/07/22 16:00,-0.00015153
26/07/22 8:00,-9.59E-05
26/07/22 0:00,3.94E-05
25/07/22 16:00,-8.20E-06
25/07/22 8:00,-8.98E-05
25/07/22 0:00,8.35E-05
24/07/22 16:00,-1.61E-05
24/07/22 8:00,5.13E-05
24/07/22 0:00,-0.00018898
23/07/22 16:00,3.40E-05
23/07/22 8:00,0.0001
23/07/22 0:00,4.96E-05
22/07/22 16:00,5.05E-05
22/07/22 8:00,4.50E-05
22/07/22 0:00,-2.75E-05
21/07/22 16:00,-6.56E-06
21/07/22 8:00,3.68E-06
21/07/22 0:00,-8.84E-05
20/07/22 16:00,1.29E-06
20/07/22 8:00,0.0001
20/07/22 0:00,0.0001
19/07/22 16:00,0.0001
19/07/22 8:00,5.04E-05
19/07/22 0:00,8.94E-05
18/07/22 16:00,0.0001
18/07/22 8:00,0.0001
18/07/22 0:00,6.17E-05
17/07/22 16:00,4.43E-05
17/07/22 8:00,0.0001
17/07/22 0:00,0.0001
16/07/22 16:00,3.57E-05
16/07/22 8:00,-8.98E-05
16/07/22 0:00,5.03E-05
15/07/22 16:00,-1.25E-05
15/07/22 8:00,2.88E-05
15/07/22 0:00,7.78E-05
14/07/22 16:00,-0.00012204
14/07/22 8:00,-4.96E-05
14/07/22 0:00,-0.0001382
13/07/22 16:00,-0.00012398
13/07/22 8:00,-3.24E-05
13/07/22 0:00,-8.45E-05
12/07/22 16:00,-0.0001161
12/07/22 8:00,-4.75E-05
12/07/22 0:00,-6.82E-06
11/07/22 16:00,5.83E-05
11/07/22 8:00,5.60E-06
11/07/22 0:00,4.49E-05
10/07/22 16:00,-2.50E-05
10/07/22 8:00,4.66E-05
10/07/22 0:00,8.33E-05
09/07/22 16:00,-1.01E-06
09/07/22 8:00,2.74E-05
09/07/22 0:00,0.0001
08/07/22 16:00,-9.39E-05
08/07/22 8:00,0.0001
08/07/22 0:00,-2.60E-05
07/07/22 16:00,-5.49E-05
07/07/22 8:00,-6.63E-05
07/07/22 0:00,-9.38E-05
06/07/22 16:00,-3.11E-05
06/07/22 8:00,1.15E-05
06/07/22 0:00,-0.00011342
05/07/22 16:00,-4.50E-05
05/07/22 8:00,-2.37E-05
05/07/22 0:00,3.90E-05
04/07/22 16:00,-8.49E-05
04/07/22 8:00,-7.85E-05
04/07/22 0:00,-1.36E-05
03/07/22 16:00,-5.73E-05
03/07/22 8:00,-5.09E-05
03/07/22 0:00,2.92E-05
02/07/22 16:00,2.09E-05
02/07/22 8:00,2.39E-06
02/07/22 0:00,-7.69E-05
01/07/22 16:00,1.99E-05
01/07/22 8:00,0.0001
01/07/22 0:00,-8.91E-05
30/06/22 16:00,-5.10E-05
30/06/22 8:00,0.0001
30/06/22 0:00,7.55E-05
29/06/22 16:00,0.0001
29/06/22 8:00,-0.00026772
29/06/22 0:00,0.0001
28/06/22 16:00,9.74E-06
28/06/22 8:00,-0.00012445
28/06/22 0:00,2.67E-05
27/06/22 16:00,0.0001
27/06/22 8:00,-0.00027412
27/06/22 0:00,0.0001
26/06/22 16:00,0.0001
26/06/22 8:00,0.0001
26/06/22 0:00,7.58E-05
25/06/22 16:00,0.0001
25/06/22 8:00,0.0001
25/06/22 0:00,0.0001
24/06/22 16:00,0.0001
24/06/22 8:00,-0.00086461
24/06/22 0:00,-0.00012404
23/06/22 16:00,-1.41E-05
23/06/22 8:00,-0.00027075
23/06/22 0:00,3.66E-05
22/06/22 16:00,-0.00045979
22/06/22 8:00,-0.00023419
22/06/22 0:00,0.0001
21/06/22 16:00,-3.01E-05
21/06/22 8:00,-2.49E-05
21/06/22 0:00,3.30E-06
20/06/22 16:00,-0.00035407
20/06/22 8:00,0.0001
20/06/22 0:00,-0.00047084
19/06/22 16:00,1.43E-05
19/06/22 8:00,-0.00066209
19/06/22 0:00,-0.000515
18/06/22 16:00,-0.00040887
18/06/22 8:00,-0.00020427
18/06/22 0:00,-0.00016125
17/06/22 16:00,0.0001
17/06/22 8:00,-0.00016352
17/06/22 0:00,-5.60E-05
16/06/22 16:00,0.0001
16/06/22 8:00,0.0001
16/06/22 0:00,-0.00017445
15/06/22 16:00,-0.00031426
15/06/22 8:00,-6.25E-05
15/06/22 0:00,2.72E-05
14/06/22 16:00,-1.82E-05
14/06/22 8:00,0.0001
14/06/22 0:00,-0.00016015
13/06/22 16:00,-7.65E-05
13/06/22 8:00,-0.00040155
13/06/22 0:00,2.60E-06
12/06/22 16:00,-0.00043526
12/06/22 8:00,-0.00035386
12/06/22 0:00,-0.00032046
11/06/22 16:00,-0.00010503
11/06/22 8:00,-0.00014283
11/06/22 0:00,-0.0005339
10/06/22 16:00,-0.00011249
10/06/22 8:00,-0.0002061
10/06/22 0:00,-0.0002024
09/06/22 16:00,-0.0001064
09/06/22 8:00,-0.00026483
09/06/22 0:00,-0.00038008
08/06/22 16:00,-0.00013057
08/06/22 8:00,-0.00014578
08/06/22 0:00,-0.00013478
07/06/22 16:00,-0.00030614
07/06/22 8:00,-0.00041443
07/06/22 0:00,0.0001
06/06/22 16:00,0.0001
06/06/22 8:00,-7.12E-06
